,id_empresa,data_inicio_atividade,data_cadastro,nome_economico,nome_bairro
0,5801,2021-05-28,2021-07-26,Empresa 5801,Bairro 1
1,6086,2022-05-16,2022-05-18,Empresa 6086,Bairro 1
2,590,2012-10-02,2012-11-01,Empresa 590,Bairro 1
3,543,2012-08-01,2012-08-30,Empresa 543,Bairro 1
4,538,2012-06-18,2012-08-23,Empresa 538,Bairro 1
5,4371,2017-09-12,2017-10-16,Empresa 4371,Bairro 1
6,4323,2017-02-01,2017-09-08,Empresa 4323,Bairro 1
7,564,2012-07-13,2012-09-21,Empresa 564,Bairro 1
8,4298,2017-07-28,2017-08-18,Empresa 4298,Bairro 1
9,573,2012-10-02,2012-10-03,Empresa 573,Bairro 1
10,6081,2022-05-10,2022-05-11,Empresa 6081,Bairro 1
11,551,2012-09-03,2012-09-11,Empresa 551,Bairro 1
12,556,2012-04-24,2012-09-17,Empresa 556,Bairro 1
13,567,2012-09-26,2012-10-01,Empresa 567,Bairro 1
14,569,2012-08-20,2012-10-01,Empresa 569,Bairro 1
15,594,2012-11-01,2012-11-09,Empresa 594,Bairro 1
16,577,2012-11-01,2012-10-10,Empresa 577,Bairro 1
17,4313,2017-07-18,2017-08-29,Empresa 4313,Bairro 1
18,4226,2017-05-10,2017-06-13,Empresa 4226,Bairro 1
19,4235,2017-04-20,2017-06-26,Empresa 4235,Bairro 1
20,66,2010-05-01,2010-05-25,Empresa 66,Bairro 1
21,660,2013-02-04,2013-04-09,Empresa 660,Bairro 1
22,627,2013-01-30,2013-02-20,Empresa 627,Bairro 1
23,4135,2017-02-20,2017-03-13,Empresa 4135,Bairro 1
24,6303,2023-01-04,2023-01-04,Empresa 6303,Bairro 1
25,4068,2016-11-07,2016-12-06,Empresa 4068,Bairro 1
26,651,2013-02-01,2013-03-26,Empresa 651,Bairro 1
27,658,2013-03-07,2013-04-04,Empresa 658,Bairro 1
28,647,2013-03-01,2013-03-21,Empresa 647,Bairro 1
29,1223,1992-10-01,2009-01-07,Empresa 1223,Bairro 1
30,758,2013-08-14,2013-08-16,Empresa 758,Bairro 1
31,1529,1998-10-01,2007-02-14,Empresa 1529,Bairro 1
32,676,2013-04-01,2013-04-29,Empresa 676,Bairro 1
33,668,2013-03-28,2013-04-22,Empresa 668,Bairro 1
34,665,2013-03-11,2013-04-16,Empresa 665,Bairro 1
35,1296,1993-08-01,,Empresa 1296,Bairro 1
36,3986,2016-07-05,2016-09-02,Empresa 3986,Bairro 1
37,4806,2018-07-11,2018-11-06,Empresa 4806,Bairro 1
38,18,2010-01-25,2010-01-26,Empresa 18,Bairro 1
39,35,2010-03-01,2010-03-08,Empresa 35,Bairro 1
40,2248,2006-01-02,2009-01-07,Empresa 2248,Bairro 1
41,6318,2023-02-01,2023-02-01,Empresa 6318,Bairro 1
42,1,2009-12-01,2009-12-03,Empresa 1,Bairro 1
43,6077,2022-04-22,2022-05-05,Empresa 6077,Bairro 1
44,3769,2015-05-26,2016-01-15,Empresa 3769,Bairro 1
45,825,1991-04-01,2007-07-04,Empresa 825,Bairro 1
